"School_Name","Address"
"BAPTIST CONVENTION OF HK LEE ON NURSERY","G1, G/F, LEE HING HOUSE LEE ON ESTATE MA ON SHAN, SHATIN NEW TERRITORIES"
"BOX HILL (HK) INTERNATIONAL KINDERGARTEN","G/F, TOWER 10 PHASE ONE, VISTA PARADISO 2 HANG MING STREET MA ON SHAN NEW TERRITORIES"
"BOX HILL (HK) INT'L K/G-FO TAN","NO 327 ON PODIUM OF JUBILEE SQUARE FO TAN SHATIN NEW TERRITORIES"
"C & MA SHATIN NURSERY SCH","1-13, G/F,  ORIOLE HOUSE SHA KOK ESTATE SHA TIN NEW TERRITORIES"
"CARITAS NURSERY SCHOOL - SHATIN","23-25 MAN LAI ROAD SHA TIN NEW TERRITORIES"
"CATILINE ANGLO-CHINESE KINDERGARTEN","G/F 
							BLOCKS 34  35 & 36 SHATIN CITY ONE PHASE 3C STTL 1 SECTION L SHATIN NEW TERRITORIES"
"CHR LITTLE ANGEL KG (KAM FUNG COURT)","G/F. KAM WAI HOUSE KAM FUNG COURT MA ON SHAN NEW TERRITORIES"
"CREATIVE KINDERGARTEN (CASTELLO)","KINDERGARTEN PREMISES ON LEVEL 5 & ENTRANCE HALL ON L6,  CASTELLO 69 SIU LEK YUEN ROAD SHA TIN NEW TERRITORIES"
"DAVID (EXODUS) KINDERGARTEN","1-5 HIN TAI STREET UG2, BLOCK 4-6 JULIMOUNT GARDEN TAI WAI, SHATIN NEW TERRITORIES"
"ELCHK  CHUNG ON NURSERY SCHOOL","G/F 
							WING A & B, KAM LAN HOUSE KAM FUNG COURT MA ON SHAN NEW TERRITORIES"
"ELCHK, OI LUN NURSERY SCHOOL","3/F HIN KENG NEIGHBOURHOOD COMMUNITY CENTRE HIN WO LANE SHATIN NEW TERRITORIES"
"EMMANUEL CHURCH SHATIN NURSERY SCHOOL","G/F, CYPRESS HOUSE KWONG YUEN ESTATE SHATIN NEW TERRITORIES"
"FM CHURCH BRADBURY CHUN LEI NURSERY SCH","FLAT 4-9, 1/F, YIU WO HOUSE YIU ON ESTATE MA ON SHAN NEW TERRITORIES"
"GOOD HEALTH KINDERGARTEN (MA ON SHAN)","1/F 
							SADDLE RIDGE GARDEN SADDLE RIDGE TERRACE MA ON SHAN, SHA TIN NEW TERRITORIES"
"HENG ON BAPTIST NURSERY SCHOOL","UNIT 1-5, HENG SING HOUSE HENG ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES"
"HK & KKWA TING SUN HUI CHIU KG","G/F, 101-116, MEI YEUNG HOUSE MEI LAM ESTATE SHATIN NEW TERRITORIES"
"HK&KKWA SUN FONG CHUNG KG (SUI WO COURT)","UNIT 37, G/F, COMMERCIAL COMPLEX SUI WO COURT SHATIN NEW TERRITORIES"
"HKSPC THE JOCKEY CLUB HOK SAM NUR SCH","NO.101-108, G/F, HOK SAM HOUSE LUNG HANG ESTATE SHATIN NEW TERRITORIES"
"HKYWCA LUNG HANG NURSERY SCHOOL","5/F AND ROOF PLAYGROUND LUNG HANG ESTATE COMMUNITY CENTRE LUNG HANG ESTATE SHATIN NEW TERRITORIES"
"HONG KONG (ASCOT) PRESCHOOL","G/F 
							ROYAL ASCOT 1 TSUN KING ROAD SHATIN NEW TERRITORIES"
"HOP YAT CHURCH SHIN KA CHUEN MEM KG","26 ON SHING STREET MA ON SHAN  SHATIN NEW TERRITORIES"
"JOYFUL WORLD KINDERGARTEN (SHA TIN)","SHOP 701, 7/F JUBILEE SQUARE 2-18 LOK KING STREET FO TAN, SHATIN NEW TERRITORIES"
"KOWLOON CITY BAPTIST CHURCH HAY NIEN KG","G/F 
							BANYAN HOUSE KWONG YUEN ESTATE SHATIN NEW TERRITORIES"
"LEARNING HABITAT KG (DOUBLE COVE)","1/F., PHASE 3 DOUBLE COVE 8 WU KAI SHA ROAD LOK WO SHA, MA ON SHAN, SHATIN NEW TERRITORIES"
"LIGHT AND LOVE HOME HAPPY KG (HIN KENG)","SHOP NO. KG01 & G01, G/F. HIN KWAI HOUSE HIN KENG ESTATE SHATIN NEW TERRITORIES"
"NEW KLN WOMEN ASSN SHA KOK NURSERY","G/F 
							28-40, BEAN GOOSE HOUSE SHA KOK ESTATE SHA TIN NEW TERRITORIES"
"NEW KLN WOMEN ASSN SUN CHUI NURSERY","G/F 
							1-8 SUN WAI HOUSE SUN CHUI ESTATE SHA TIN NEW TERRITORIES"
"NTW&JWA L POK HONG NURSERY SCHOOL","RM 21-28 
							G/F, POK ON HOUSE POK HONG ESTATE SHA TIN NEW TERRITORIES"
"PO LEUNG KUK TONG CHOR NAM (LEK YUEN) KG","NO.223-232, 1/F, KWAI WO HOUSE LEK YUEN ESTATE SHATIN NEW TERRITORIES"
